date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2024-01-02,sh.600030,20.3800,20.4000,20.0600,20.0700,20.3700,58776514,1183083967.5100,3,0.517100,1,-1.472800,14.054567,4.868720,-4.477997,1.196029,0
2024-01-03,sh.600030,20.0000,20.2500,19.9800,20.1800,20.0700,54751355,1101533869.8600,3,0.481700,1,0.548100,14.131597,4.895405,-4.502540,1.202584,0
2024-01-04,sh.600030,20.1200,20.1600,19.8400,20.0000,20.1800,50391805,1006917539.6600,3,0.443300,1,-0.892000,14.005547,4.851739,-4.462379,1.191857,0
2024-01-05,sh.600030,19.9500,20.1800,19.6600,19.7900,20.0000,69614777,1387740195.3900,3,0.612400,1,-1.050000,13.858489,4.800796,-4.415524,1.179343,0
2024-01-08,sh.600030,19.7200,19.8600,19.4000,19.4200,19.7900,62567092,1222235532.4500,3,0.550400,1,-1.869600,13.599387,4.711039,-4.332970,1.157293,0
2024-01-09,sh.600030,19.4200,19.5600,19.3300,19.4600,19.4200,45845833,892306219.8500,3,0.403300,1,0.206000,13.627398,4.720742,-4.341895,1.159677,0
2024-01-10,sh.600030,19.4500,19.6300,19.2600,19.4600,19.4600,52596063,1024533120.3200,3,0.462700,1,0.000000,13.627398,4.720742,-4.341895,1.159677,0
2024-01-11,sh.600030,19.4800,19.6600,19.3400,19.6000,19.4600,44793313,874928731.9100,3,0.394100,1,0.719400,13.725436,4.754705,-4.373131,1.168020,0
2024-01-12,sh.600030,19.5000,19.7300,19.4500,19.5200,19.6000,39747110,778895688.3400,3,0.349700,1,-0.408200,13.669414,4.735298,-4.355282,1.163253,0
2024-01-15,sh.600030,19.3600,19.6900,19.3300,19.4800,19.5200,33855797,659832779.9800,3,0.297900,1,-0.204900,13.641403,4.725594,-4.346357,1.160869,0
2024-01-16,sh.600030,19.4500,19.6200,19.2200,19.5800,19.4800,58008393,1127694934.9600,3,0.510300,1,0.513300,13.711431,4.749853,-4.368669,1.166828,0
2024-01-17,sh.600030,19.5000,19.5300,19.2200,19.2200,19.5800,56149064,1088333237.7300,3,0.494000,1,-1.838600,13.459331,4.662522,-4.288346,1.145375,0
2024-01-18,sh.600030,19.0700,19.5400,18.7800,19.4900,19.2200,112136644,2140221937.5800,3,0.986500,1,1.404800,13.648406,4.728020,-4.348588,1.161465,0
2024-01-19,sh.600030,19.3000,19.5800,19.2500,19.4700,19.4900,69114136,1343840467.0300,3,0.608000,1,-0.102600,13.634400,4.723168,-4.344126,1.160273,0
