code,name,market
sh.688585,上纬新材,上海
sh.688277,天智航-U,上海
sh.688230,芯导科技,上海
sh.688325,赛微微电,上海
sh.688256,寒武纪-U,上海
sh.688029,南微医学,上海
sh.688220,翱捷科技-U,上海
sh.688502,茂莱光学,上海
sh.688327,云从科技-UW,上海
sh.688383,新益昌,上海
sh.688577,浙海德曼,上海
sh.600117,西宁特钢,上海
sh.603030,全筑股份,上海
sh.603725,天安新材,上海
sh.600651,飞乐音响,上海
sh.600835,上海机电,上海
sh.603579,荣泰健康,上海
sh.603226,菲林格尔,上海
sh.605259,绿田机械,上海
sh.600895,张江高科,上海
sh.600288,大恒科技,上海
sh.603976,正川股份,上海
sh.605088,冠盛股份,上海
sh.600749,西藏旅游,上海
sh.603978,深圳新星,上海
sh.605255,天普股份,上海
sh.600619,海立股份,上海
sh.600326,西藏天路,上海
sh.600825,新华传媒,上海
sh.603116,红蜻蜓,上海
sh.603528,多伦科技,上海
sh.603176,汇通集团,上海
sh.688370,丛麟科技,上海
sh.688376,美埃科技,上海
sh.688004,博汇科技,上海
sh.688581,安杰思,上海
sh.688171,纬德信息,上海
sh.688702,盛科通信-U,上海
sh.688787,海天瑞声,上海
sh.688216,气派科技,上海
sh.688629,华丰科技,上海
sh.600936,广西广电,上海
sh.603109,神驰机电,上海
sh.688608,恒玄科技,上海
sh.688677,海泰新光,上海
sh.600397,安源煤业,上海
sh.600486,XD扬农化,上海
sh.688236,春立医疗,上海
sh.603922,金鸿顺,上海
sh.601208,东材科技,上海
sh.600392,盛和资源,上海
sh.603090,宏盛股份,上海
sh.688246,嘉和美康,上海
sh.688708,佳驰科技,上海
sh.688410,山外山,上海
sh.688261,东微半导,上海
sh.688521,芯原股份,上海
sh.605189,富春染织,上海
sh.600418,江淮汽车,上海
sh.603228,景旺电子,上海
sh.600539,狮头股份,上海
sh.688039,当虹科技,上海
sh.688513,苑东生物,上海
sh.601231,环旭电子,上海
sh.603578,三星新材,上海
sh.603055,台华新材,上海
sh.603800,洪田股份,上海
