date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2024-01-31,sh.600030,20.3800,21.0800,18.7800,20.5000,1728747128,34459236026.1200,3,15.208800,0.638200
2024-02-29,sh.600030,20.3000,21.8000,19.6700,21.3000,1471870897,30964884914.3100,3,12.949000,3.902400
2024-03-29,sh.600030,21.3000,21.4500,19.1000,19.2000,1644961555,33776836800.3900,3,14.471700,-9.859200
2024-04-30,sh.600030,19.3000,19.5200,17.2600,19.0100,2000720174,37022156565.6400,3,17.601400,-0.989600
2024-05-31,sh.600030,19.2500,19.5100,18.4500,18.6200,1459719939,27706638296.5400,3,12.842000,-2.051600
2024-06-28,sh.600030,18.5500,18.8900,18.0000,18.2300,1091960552,20143744646.0000,3,9.606600,-2.094500
2024-07-31,sh.600030,18.1900,20.2400,17.3500,19.8000,2470270928,46989394005.9900,3,21.732800,8.612200
2024-08-30,sh.600030,19.5500,19.8200,18.2600,19.2900,1442687300,27496678223.6700,3,12.692400,-0.117900
2024-09-30,sh.600030,19.1900,27.2000,18.7500,27.2000,2410534693,52341903916.5400,3,20.093300,41.005700
2024-10-31,sh.600030,29.9200,32.8900,26.0700,28.1200,6646856898,188541063067.2900,3,54.587300,3.382400
2024-11-29,sh.600030,28.1200,36.4900,27.8400,30.7500,6666002228,213172271839.3800,3,54.744500,9.352800
2024-12-31,sh.600030,30.6000,33.0000,29.1500,29.1700,3113010397,95875530087.6000,3,25.565700,-4.381600
2025-01-27,sh.600030,28.9800,29.0000,26.1600,26.9300,2009702020,54953895166.5600,3,16.504600,-7.679100
2025-02-28,sh.600030,27.2700,28.6800,26.8400,27.3300,2214544596,62040125602.4000,3,18.186900,1.485300
2025-03-31,sh.600030,27.4300,28.4600,26.3000,26.5200,1911578204,52514649825.6300,3,15.699000,-2.963800
2025-04-30,sh.600030,26.5200,26.7200,23.8000,25.0800,1600027138,40071104572.8100,3,13.140300,-5.429900
2025-05-30,sh.600030,25.2800,27.7400,25.2000,25.5200,1484137824,38791355930.9900,3,12.188400,1.754400
2025-06-30,sh.600030,25.4000,28.4600,25.3600,27.6200,1878587816,50426794456.7900,3,15.428000,8.228800
