date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2024-01-05,sh.600030,20.3800,20.4000,19.6600,19.7900,233534451,4679275572.4200,3,2.054500,-2.847300
2024-01-12,sh.600030,19.7200,19.8600,19.2600,19.5200,245549411,4792899292.8700,3,2.160200,-1.364300
2024-01-19,sh.600030,19.3600,19.6900,18.7800,19.4700,329264034,6359923357.2800,3,2.896700,-0.256100
2024-01-26,sh.600030,19.4000,21.0800,18.9200,20.8300,661668356,13302282497.0900,3,5.821200,6.985100
2024-02-02,sh.600030,20.7200,20.8900,19.6700,20.1800,437454085,8958485015.9700,3,3.848600,-3.120500
2024-02-08,sh.600030,20.0800,21.5300,19.7600,21.2500,433835763,9034313268.4600,3,3.816700,5.302300
2024-02-23,sh.600030,21.1200,21.8000,20.5500,21.5200,499957418,10632207790.3100,3,4.398400,1.270600
2024-03-01,sh.600030,21.5400,21.7400,20.9500,21.3200,431748115,9202689296.4900,3,3.798400,-0.929400
2024-03-08,sh.600030,21.3300,21.4000,20.7100,20.8000,339352264,7145493361.6200,3,2.985600,-2.439000
2024-03-15,sh.600030,20.8900,21.4500,20.5900,20.8700,349858913,7366488985.7300,3,3.078000,0.336500
2024-03-22,sh.600030,20.8900,21.4300,20.4400,20.5000,367775901,7698941523.1800,3,3.235400,-1.772900
2024-03-29,sh.600030,19.8000,19.9200,19.1000,19.2000,515580869,10027957779.4000,3,4.535800,-6.341500
2024-04-03,sh.600030,19.3000,19.4700,19.1300,19.1600,212659850,4107625509.7600,3,1.870900,-0.208300
2024-04-12,sh.600030,19.0000,19.0700,17.9000,17.9400,381971762,7071503681.5300,3,3.360400,-6.367400
2024-04-19,sh.600030,17.5000,18.5300,17.2600,18.1300,638552987,11413782514.0800,3,5.617600,1.059100
2024-04-26,sh.600030,18.1300,19.2700,18.0500,19.1600,476629376,8834923867.2500,3,4.193200,5.681200
2024-04-30,sh.600030,19.1700,19.5200,18.9500,19.0100,290906199,5594320993.0200,3,2.559300,-0.782900
2024-05-10,sh.600030,19.2500,19.4500,18.7500,19.0600,416967395,7945184531.3500,3,3.668400,0.263000
2024-05-17,sh.600030,19.0300,19.2200,18.7300,19.1900,387259524,7326977115.6100,3,3.406900,0.682100
2024-05-24,sh.600030,19.1900,19.5100,18.5200,18.5900,412548700,7901867075.7800,3,3.629400,-3.126600
2024-05-31,sh.600030,18.6000,18.9100,18.4500,18.6200,242944320,4532609573.8000,3,2.137300,0.161400
2024-06-07,sh.600030,18.5500,18.6800,18.2000,18.3800,268777292,4971298336.6600,3,2.364600,-1.288900
2024-06-14,sh.600030,18.2800,18.7700,18.2000,18.6300,254187082,4679451480.8900,3,2.236300,1.360200
2024-06-21,sh.600030,18.5100,18.8900,18.2500,18.4400,266196427,4939741111.7600,3,2.341800,-1.019900
2024-06-28,sh.600030,18.4100,18.6000,18.0000,18.2300,302799751,5553253716.6900,3,2.663900,-1.138800
2024-07-05,sh.600030,18.1900,18.4500,17.7000,17.8100,260768881,4719032005.8500,3,2.294200,-2.303900
2024-07-12,sh.600030,17.7000,18.4500,17.3500,18.3600,308149193,5547326885.5900,3,2.711000,3.088200
2024-07-19,sh.600030,18.3600,19.4400,18.3200,19.3900,469678509,8889451762.6400,3,4.132000,5.610000
2024-07-26,sh.600030,19.9900,20.2400,18.7600,19.2600,1040407362,20262308613.8000,3,9.153300,-0.670400
2024-08-02,sh.600030,19.0500,20.1200,18.7400,19.2100,615409109,11945144413.1000,3,5.414300,-0.259600
2024-08-09,sh.600030,19.1200,19.4200,18.8500,18.8900,347652992,6642271897.8500,3,3.058600,-1.665800
2024-08-16,sh.600030,18.8200,19.3000,18.7200,19.1000,267893982,5088597665.5200,3,2.356700,1.111700
2024-08-23,sh.600030,19.0700,19.2200,18.6400,19.1000,241786043,4583251223.5900,3,2.127100,0.000000
2024-08-30,sh.600030,18.6300,19.4800,18.2600,19.2900,361212157,6808687761.7200,3,3.178000,3.542700
2024-09-06,sh.600030,19.1900,19.5800,18.9100,19.0600,332980528,6380212935.7300,3,2.945600,-1.192300
2024-09-13,sh.600030,18.7900,19.2000,18.7500,18.9200,252291271,4784523609.8400,3,2.157700,-0.734500
2024-09-20,sh.600030,18.8000,19.5000,18.7700,19.2900,199791160,3834617485.1000,3,1.640700,1.955600
2024-09-27,sh.600030,19.3200,24.7300,19.1700,24.7300,1230554281,26622880365.8100,3,10.106000,28.201100
2024-09-30,sh.600030,27.2000,27.2000,26.4400,27.2000,394917453,10719669520.0600,3,3.243300,9.987900
2024-10-11,sh.600030,29.9200,32.8900,26.6800,28.1700,2759645939,81988549536.7200,3,22.663600,3.566200
2024-10-18,sh.600030,27.9700,28.7800,26.0700,27.9100,1765711409,47853877047.1900,3,14.500900,-0.923000
2024-10-25,sh.600030,27.4400,28.1900,27.1100,27.5000,1196039061,32994897849.2200,3,9.822500,-1.469000
2024-11-01,sh.600030,27.5100,28.8000,27.1700,27.9500,1197618656,33375907730.4000,3,9.835400,1.636400
2024-11-08,sh.600030,28.0100,36.4900,28.0100,34.8800,2472709197,79931574257.8200,3,20.307200,24.794300
2024-11-15,sh.600030,33.5500,35.6000,31.1100,31.1300,1850278491,61930817713.7500,3,15.195300,-10.751100
2024-11-22,sh.600030,31.0500,32.1600,30.2400,30.3300,1102735954,34439114768.5200,3,9.056200,-2.569900
2024-11-29,sh.600030,30.3300,31.8800,29.1400,30.7500,968120419,29198596003.0500,3,7.950700,1.384800
